110030000200.0;—20х30;ГОСТ 103-2006;4.71
110030000220.0;—22х30;ГОСТ 103-2006;5.181
110032000040.0;—4х32;ГОСТ 103-2006;1.005
110032000050.0;—5х32;ГОСТ 103-2006;1.256
110032000060.0;—6х32;ГОСТ 103-2006;1.507
110032000070.0;—7х32;ГОСТ 103-2006;1.758
110032000080.0;—8х32;ГОСТ 103-2006;2.01
110032000090.0;—9х32;ГОСТ 103-2006;2.261
110032000100.0;—10х32;ГОСТ 103-2006;2.512
110032000110.0;—11х32;ГОСТ 103-2006;2.763
110032000120.0;—12х32;ГОСТ 103-2006;3.014
110032000140.0;—14х32;ГОСТ 103-2006;3.517
110032000160.0;—16х32;ГОСТ 103-2006;4.019
110032000180.0;—18х32;ГОСТ 103-2006;4.522
110032000200.0;—20х32;ГОСТ 103-2006;5.024
110032000220.0;—22х32;ГОСТ 103-2006;5.526
110032000250.0;—25х32;ГОСТ 103-2006;6.28
110032000280.0;—28х32;ГОСТ 103-2006;7.034
110032000300.0;—30х32;ГОСТ 103-2006;7.536
110035000040.0;—4х35;ГОСТ 103-2006;1.1
110035000050.0;—5х35;ГОСТ 103-2006;1.374
110035000060.0;—6х35;ГОСТ 103-2006;1.649
110035000080.0;—8х35;ГОСТ 103-2006;2.198
110035000100.0;—10х35;ГОСТ 103-2006;2.748
110035000120.0;—12х35;ГОСТ 103-2006;3.297
110035000150.0;—15х35;ГОСТ 103-2006;4.121
110035000200.0;—20х35;ГОСТ 103-2006;5.495
110035000250.0;—25х35;ГОСТ 103-2006;6.869
110035000300.0;—30х35;ГОСТ 103-2006;8.243
110036000040.0;—4х36;ГОСТ 103-2006;1.13
110036000050.0;—5х36;ГОСТ 103-2006;1.413
110036000060.0;—6х36;ГОСТ 103-2006;1.696
110036000070.0;—7х36;ГОСТ 103-2006;1.978
110036000080.0;—8х36;ГОСТ 103-2006;2.261
110036000090.0;—9х36;ГОСТ 103-2006;2.543
110036000100.0;—10х36;ГОСТ 103-2006;2.826
